a_score,score,avis,år,file
0.010893246187363835,5.0,information,2008-2009,article1.txt
0.0162748643761302,9.0,information,2008-2009,article10.txt
0.0,0.0,information,2008-2009,article11.txt
0.03494623655913978,13.0,information,2008-2009,article12.txt
0.006535947712418301,3.0,information,2008-2009,article13.txt
0.016483516483516484,9.0,information,2008-2009,article14.txt
0.03324808184143223,13.0,information,2008-2009,article15.txt
0.02406417112299465,9.0,information,2008-2009,article16.txt
0.07399577167019028,35.0,information,2008-2009,article17.txt
-0.008948545861297539,-4.0,information,2008-2009,article18.txt
0.014124293785310734,5.0,information,2008-2009,article19.txt
0.025157232704402517,12.0,information,2008-2009,article2.txt
0.027450980392156862,14.0,information,2008-2009,article20.txt
0.014705882352941176,7.0,information,2008-2009,article21.txt
0.0053285968028419185,3.0,information,2008-2009,article22.txt
0.012254901960784314,5.0,information,2008-2009,article23.txt
-0.006097560975609756,-3.0,information,2008-2009,article24.txt
0.015296367112810707,8.0,information,2008-2009,article25.txt
-0.015306122448979591,-6.0,information,2008-2009,article26.txt
0.02197802197802198,8.0,information,2008-2009,article27.txt
-0.01598173515981735,-7.0,information,2008-2009,article28.txt
0.03286384976525822,14.0,information,2008-2009,article29.txt
0.01606425702811245,8.0,information,2008-2009,article3.txt
-0.014644351464435146,-7.0,information,2008-2009,article30.txt
0.02481389578163772,10.0,information,2008-2009,article31.txt
0.04040404040404041,20.0,information,2008-2009,article32.txt
-0.007168458781362007,-4.0,information,2008-2009,article33.txt
0.009861932938856016,5.0,information,2008-2009,article34.txt
0.016885553470919325,9.0,information,2008-2009,article35.txt
-0.0019230769230769232,-1.0,information,2008-2009,article4.txt
0.031141868512110725,9.0,information,2008-2009,article5.txt
0.014184397163120567,6.0,information,2008-2009,article6.txt
-0.012861736334405145,-4.0,information,2008-2009,article7.txt
0.0,0.0,information,2008-2009,article8.txt
-0.013513513513513514,-5.0,information,2008-2009,article9.txt
