a_score,score,avis,år,file
0.024793388429752067,9.0,jyllandsposten,2013-2014,article1.txt
0.019646365422396856,10.0,jyllandsposten,2013-2014,article10.txt
0.05387205387205387,16.0,jyllandsposten,2013-2014,article11.txt
0.008565310492505354,4.0,jyllandsposten,2013-2014,article12.txt
0.09977324263038549,44.0,jyllandsposten,2013-2014,article13.txt
0.03389830508474576,12.0,jyllandsposten,2013-2014,article14.txt
0.03591160220994475,13.0,jyllandsposten,2013-2014,article15.txt
0.038636363636363635,17.0,jyllandsposten,2013-2014,article16.txt
0.061224489795918366,30.0,jyllandsposten,2013-2014,article17.txt
0.0034482758620689655,1.0,jyllandsposten,2013-2014,article18.txt
0.040268456375838924,18.0,jyllandsposten,2013-2014,article19.txt
0.01757188498402556,11.0,jyllandsposten,2013-2014,article2.txt
0.019559902200488997,8.0,jyllandsposten,2013-2014,article20.txt
-0.015197568389057751,-5.0,jyllandsposten,2013-2014,article21.txt
0.06772908366533864,34.0,jyllandsposten,2013-2014,article22.txt
0.08316430020283976,41.0,jyllandsposten,2013-2014,article23.txt
0.06273062730627306,17.0,jyllandsposten,2013-2014,article24.txt
0.049281314168377825,24.0,jyllandsposten,2013-2014,article25.txt
0.047325102880658436,23.0,jyllandsposten,2013-2014,article26.txt
0.0748663101604278,28.0,jyllandsposten,2013-2014,article27.txt
-0.0026954177897574125,-1.0,jyllandsposten,2013-2014,article28.txt
0.0053475935828877,2.0,jyllandsposten,2013-2014,article29.txt
0.012690355329949238,5.0,jyllandsposten,2013-2014,article3.txt
-0.09482758620689655,-44.0,jyllandsposten,2013-2014,article30.txt
0.03529411764705882,12.0,jyllandsposten,2013-2014,article31.txt
0.03773584905660377,18.0,jyllandsposten,2013-2014,article32.txt
0.022598870056497175,12.0,jyllandsposten,2013-2014,article33.txt
0.044543429844097995,20.0,jyllandsposten,2013-2014,article34.txt
0.0378619153674833,17.0,jyllandsposten,2013-2014,article35.txt
0.04771784232365145,23.0,jyllandsposten,2013-2014,article36.txt
0.02558139534883721,11.0,jyllandsposten,2013-2014,article37.txt
0.002242152466367713,1.0,jyllandsposten,2013-2014,article38.txt
0.03278688524590164,14.0,jyllandsposten,2013-2014,article39.txt
-0.011527377521613832,-4.0,jyllandsposten,2013-2014,article4.txt
0.03219315895372234,16.0,jyllandsposten,2013-2014,article40.txt
0.01838235294117647,5.0,jyllandsposten,2013-2014,article41.txt
0.044036697247706424,24.0,jyllandsposten,2013-2014,article42.txt
0.026442307692307692,11.0,jyllandsposten,2013-2014,article43.txt
0.008298755186721992,4.0,jyllandsposten,2013-2014,article44.txt
0.008438818565400843,4.0,jyllandsposten,2013-2014,article45.txt
0.04271356783919598,17.0,jyllandsposten,2013-2014,article46.txt
0.02112676056338028,9.0,jyllandsposten,2013-2014,article47.txt
-0.052830188679245285,-14.0,jyllandsposten,2013-2014,article48.txt
-0.002109704641350211,-1.0,jyllandsposten,2013-2014,article49.txt
-0.0045662100456621,-2.0,jyllandsposten,2013-2014,article5.txt
0.0,0.0,jyllandsposten,2013-2014,article50.txt
0.026829268292682926,11.0,jyllandsposten,2013-2014,article51.txt
0.06639004149377593,32.0,jyllandsposten,2013-2014,article52.txt
0.0515695067264574,23.0,jyllandsposten,2013-2014,article53.txt
0.03785488958990536,12.0,jyllandsposten,2013-2014,article54.txt
0.08536585365853659,35.0,jyllandsposten,2013-2014,article55.txt
0.03795066413662239,20.0,jyllandsposten,2013-2014,article56.txt
-0.017142857142857144,-6.0,jyllandsposten,2013-2014,article6.txt
0.016241299303944315,7.0,jyllandsposten,2013-2014,article7.txt
-0.003105590062111801,-1.0,jyllandsposten,2013-2014,article8.txt
0.009237875288683603,4.0,jyllandsposten,2013-2014,article9.txt
